DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
18.3000	12.9111	13.8126	9.5801	10.0507	30.3284	10.6082	14.1872	13.7694
18.4000	13.7580	14.1037	10.5935	10.7282	31.0181	11.4146	15.1292	14.5611
18.5000	14.7802	14.4392	11.5432	11.3584	30.6843	12.0504	16.3391	15.5768
18.6000	15.7609	14.8334	12.1394	11.8336	29.6623	12.4445	17.6668	16.6923
18.7000	16.5918	15.2808	12.5212	12.1808	28.4135	12.6907	18.8168	17.6596
18.8000	17.2282	15.7691	13.0495	12.4511	27.1144	12.8520	19.7467	18.4423
18.9000	17.6291	16.3142	13.8289	12.7474	25.9583	13.0544	20.3544	18.9517
19.0000	17.8405	17.0062	14.8010	13.1043	24.7540	13.3073	20.7137	19.2513
19.1000	17.9956	17.8963	16.0661	13.4862	23.3581	13.5526	20.9607	19.4572
19.2000	18.1377	18.8235	17.2802	13.8771	21.7594	13.7744	21.1658	19.6292
19.3000	18.2922	19.6781	18.4871	14.2997	20.1980	13.9943	21.3380	19.7762
19.4000	18.4050	20.3963	19.8262	14.7557	18.9806	14.2121	21.4526	19.8763
19.5000	18.4080	20.9377	21.1288	15.2231	18.0241	14.4165	21.4827	19.9058
19.6000	18.3764	21.3154	22.5255	15.6946	17.2109	14.6064	21.4644	19.8948
19.7000	18.3346	21.5848	23.3506	16.1839	16.5026	14.7895	21.4096	19.8539
19.8000	18.3218	21.7542	23.5673	16.6391	15.8002	14.9113	21.3933	19.8488
19.9000	18.3606	21.8218	23.7624	17.0026	15.0965	14.9276	21.4546	19.9132
20.0000	18.3765	21.8123	23.6134	17.3691	14.4286	14.9165	21.4993	19.9691
20.1000	18.3898	21.6752	23.4149	17.8001	13.8120	14.9147	21.5112	20.0032
20.2000	18.3722	21.3809	23.4552	18.3122	13.2830	14.9131	21.4741	20.0004
20.3000	18.2882	20.9473	23.4822	19.0073	12.8745	14.9708	21.3418	19.9235
20.4000	18.1592	20.3734	23.7384	20.0051	12.5729	15.1312	21.0779	19.7425
20.5000	17.9360	19.6191	24.0886	21.3912	12.3343	15.3713	20.6903	19.4703
20.6000	17.6732	18.6412	24.8232	23.0576	12.0942	15.6596	20.2282	19.1448
20.7000	17.3851	17.5405	25.6562	24.7483	11.8441	15.9810	19.7223	18.7705
20.8000	17.0427	16.5772	26.0797	26.4072	11.5732	16.3333	19.1356	18.3076
20.9000	16.6488	15.8174	26.6553	27.8348	11.2601	16.6239	18.5146	17.7895
21.0000	16.1202	15.1993	27.3903	29.0642	10.9348	16.8799	17.7435	17.1146
